id,created_at,first_name,last_name,phone,point_de_fidelite,restaurant_id,email,address,birth_date,photo_url,tags,preferences,notes,is_entreprise,raison_sociale,ninea,contact_name,last_order_date,total_spent,order_count,status
03373a5e-34cf-4483-94a9-3e1e34c82158,2025-08-08 15:47:42.488054+00,jean,nafissatou,774563214,53,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
07a502dc-d208-4568-a2c6-2f931cbe3c38,2025-08-11 01:13:44.736742+00,lxs,,sks,47,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
0fc9e1bb-3565-4809-b51d-c265e94c38bc,2025-07-29 17:25:02.481456+00,Malick,DIENE,786778666,106,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
1c3bdf9b-76d3-4da5-9c75-f28632dfaa5c,2025-07-29 17:18:59.466343+00,Malick,DIENE,785554333,403,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
220f3639-d110-415a-822e-150e8b21b5c5,2025-07-29 17:19:55.022183+00,Ibn,Khalil,767777777,297,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
2580502b-ab04-48f9-8446-c270499bed94,2025-07-28 14:31:20.054065+00,Malick,DIENE,784839435,529,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
5e914bef-e566-4d39-a5a5-538ffa3894d5,2025-07-31 18:04:45.690674+00,ibrahima,Séne,77807412,254,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
6a044502-61b6-4474-af23-55024071e241,2025-08-01 01:01:33.30765+00,Diena,,778963214,617,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
7095170f-6a07-401f-9b85-f81d2469468f,2025-07-29 16:57:27.864324+00,Malick,DIENE,786676666,403,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
79d6df8f-98cc-4694-ba76-be30fb766f46,2025-07-30 12:23:16.882734+00,Abdoulaye,,762430964,58,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
7ae86aa1-9dd1-4c79-8a4d-c9af531fa513,2025-08-11 00:16:11.927026+00,jkj,,"jj ",106,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
88138fe5-d73e-4e2f-8dbb-c15cfc3cc4df,2025-08-07 15:52:47.091945+00,mama,,774123696,837,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
889b2b2d-f7b9-40e7-85d6-db92ace76ecc,2025-08-07 16:21:01.152428+00,louis,vuitton,775632145,318,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
8dc5af49-6f0d-43f5-98f7-0000c28a9608,2025-08-01 16:55:23.781461+00,Fallou,Diaw,778888888Q,403,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
9884226f-dea8-4807-ba15-3760ac2b745a,2025-08-11 12:37:56.08469+00,ALioune,Hann,77412536325,226,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
98945cbd-b69e-426a-a64e-b0053d7f7dbd,2025-07-29 17:25:46.412556+00,Malick,FALL,778865566,201,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
a23cebb5-afd6-4f6a-9605-153d39273c4b,2025-07-31 22:38:35.561+00,lahad,ndiaye,774563212,350,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
bd318d90-d411-471a-b5ec-c49d422051f4,2025-08-05 16:01:09.118026+00,Alfred,Gomis,776775678,201,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
bf92b254-04e5-4fd9-b23f-13e47d4a44fe,2025-07-29 16:49:53.982766+00,Malick,DIENE,787776666,403,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
c743d9f0-ab78-4d61-aea7-8d1320d24394,2025-08-07 15:41:33.002324+00,Alioune,Ndiaye,774562314,53,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
cbd1b52a-9094-453b-b521-dadaf56098ef,2025-08-08 16:15:01.871108+00,Fall,yaram,7788866655,53,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
dd40ce5f-95aa-429d-94b9-e198e5908721,2025-08-01 16:43:52.709484+00,Fallou,Mbodj,776775645,201,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
edfe3600-dbcf-487f-9fa8-a909518bd102,2025-08-07 15:49:42.74476+00,Miniane,Ndiaye,774123658,53,c13c2163-c6e3-449f-8f00-993c85c811e8,,,,,,,,false,,,,,0,0,
