id,transaction_number,session_id,user_id,type,amount,payment_method_id,customer_name,customer_phone,order_reference,status,receipt_url,notes,created_at,updated_at,restaurant_id
0614e6a1-c4d4-4832-8e3f-34bf0bea78fb,TXN_20250808_0006,,,sale,5310.00,,,,5a6ba72a-8b4d-41e0-a037-4b2da38c6cd0,pending,,,2025-08-08 15:47:03.832+00,2025-08-08 15:47:03.832+00,c13c2163-c6e3-449f-8f00-993c85c811e8
0e6d5a0f-0600-49b0-aeff-ef94e8c708ca,TXN_20250810_0001,,,sale,4720.00,,,,6ea6676a-3c20-44c4-8a79-67f09a805268,pending,,,2025-08-10 23:33:25.057+00,2025-08-10 23:33:25.057+00,c13c2163-c6e3-449f-8f00-993c85c811e8
160032af-3b36-4cc5-8d79-36392bc47f99,TXN_20250811_0003,,,sale,4720.00,,,,c50dfb52-39d0-4369-a848-b950ca5e413a,pending,,,2025-08-11 01:13:20.297+00,2025-08-11 01:13:20.297+00,c13c2163-c6e3-449f-8f00-993c85c811e8
1865cd20-58a6-4b4e-bb0c-96b176833023,TXN_20250807_0012,65d43584-5422-45ea-8173-30bfaaf3df46,7efdb402-17a2-474a-8ddc-e8a55a1e479d,sale,42480.00,6ce2fc19-697e-4e04-bd4b-314650a01903,Lex,774123696,36624512-c6c3-47c1-aae2-4dc6c3b074a0,completed,,Vente commande 36624512-c6c3-47c1-aae2-4dc6c3b074a0,2025-08-07 21:11:38.887148+00,2025-08-07 21:11:38.887148+00,c13c2163-c6e3-449f-8f00-993c85c811e8
1b710557-9562-409f-a34d-e965b1fe22cb,TXN_20250808_0009,65d43584-5422-45ea-8173-30bfaaf3df46,7efdb402-17a2-474a-8ddc-e8a55a1e479d,sale,5310.00,1bd394b5-324e-4e81-9c6b-758bc33e9f97,Fall yaram,7788866655,d1e97445-1a27-4cab-9386-bc6667663ab5,completed,,Vente commande d1e97445-1a27-4cab-9386-bc6667663ab5,2025-08-08 16:15:02.968471+00,2025-08-08 16:15:02.968471+00,c13c2163-c6e3-449f-8f00-993c85c811e8
2191da94-e401-4840-a7fb-6bc02a0b403b,TXN_20250811_0005,,,sale,17936.00,,,,d477d676-847e-4fc0-90b2-e8ff2557d0c6,pending,,,2025-08-11 12:33:58.719+00,2025-08-11 12:33:58.719+00,c13c2163-c6e3-449f-8f00-993c85c811e8
21fedfd9-2226-40b3-baa1-ca9666829278,TXN_20250811_0006,65d43584-5422-45ea-8173-30bfaaf3df46,7efdb402-17a2-474a-8ddc-e8a55a1e479d,sale,22656.00,,ALioune Hann,77412536325,d477d676-847e-4fc0-90b2-e8ff2557d0c6,completed,,Vente commande d477d676-847e-4fc0-90b2-e8ff2557d0c6,2025-08-11 12:37:56.988226+00,2025-08-11 12:37:56.988226+00,c13c2163-c6e3-449f-8f00-993c85c811e8
3013c6cd-b174-4fba-a302-d9fbd77d902c,TXN_20250807_0007,,,sale,5310.00,,,,22e4e034-2c05-48e9-a90d-4737af926d5f,pending,,,2025-08-07 15:56:30.29+00,2025-08-07 15:56:30.29+00,c13c2163-c6e3-449f-8f00-993c85c811e8
318d5cde-429b-4e88-a17f-4517630d06ad,TXN_20250807_0011,,,sale,5310.00,,,,36624512-c6c3-47c1-aae2-4dc6c3b074a0,pending,,,2025-08-07 21:08:52.843+00,2025-08-07 21:08:52.843+00,c13c2163-c6e3-449f-8f00-993c85c811e8
44842ddc-d6cd-46b0-abdc-613ab22f6339,TXN_20250808_0010,,,sale,20178.00,,,,93cd50ab-015f-47b2-a328-48381203175f,pending,,,2025-08-08 17:02:42.176+00,2025-08-08 17:02:42.176+00,c13c2163-c6e3-449f-8f00-993c85c811e8
4a9490f8-905b-4c8d-a180-ac939184de95,TXN_20250811_0004,65d43584-5422-45ea-8173-30bfaaf3df46,48625ecc-0a53-4901-99e1-efc83711e5f5,sale,4720.00,1bd394b5-324e-4e81-9c6b-758bc33e9f97,lxs,sks,c50dfb52-39d0-4369-a848-b950ca5e413a,completed,,Vente commande c50dfb52-39d0-4369-a848-b950ca5e413a,2025-08-11 01:13:45.416906+00,2025-08-11 01:13:45.416906+00,c13c2163-c6e3-449f-8f00-993c85c811e8
4c908b06-f2c3-410e-9c44-295552f89ed4,TXN_20250808_0007,65d43584-5422-45ea-8173-30bfaaf3df46,7efdb402-17a2-474a-8ddc-e8a55a1e479d,sale,5310.00,,jean nafissatou Lo,774563214,5a6ba72a-8b4d-41e0-a037-4b2da38c6cd0,completed,,Vente commande 5a6ba72a-8b4d-41e0-a037-4b2da38c6cd0,2025-08-08 15:47:44.386535+00,2025-08-08 15:47:44.386535+00,c13c2163-c6e3-449f-8f00-993c85c811e8
4fe5c036-009b-41cf-bb7a-9a688a88d5e8,TXN_20250808_0002,,,sale,5310.00,,,,4a1663c2-c7ce-4c0c-a96d-8e5d90ec4911,pending,,,2025-08-08 11:15:26.593+00,2025-08-08 11:15:26.593+00,c13c2163-c6e3-449f-8f00-993c85c811e8
5d1e537c-9701-41e3-bf2b-0897a334eb9e,TXN_20250808_0003,,,sale,5310.00,,,,4a1663c2-c7ce-4c0c-a96d-8e5d90ec4911,completed,,,2025-08-08 11:27:59.206+00,2025-08-08 11:27:59.206+00,c13c2163-c6e3-449f-8f00-993c85c811e8
5dfa9717-a421-4aa1-b636-fb528b4645bc,TXN_20250807_0005,,,sale,10620.00,,,,8f48825d-3365-4fc5-98ca-65bc67f40729,pending,,,2025-08-07 15:52:20.028+00,2025-08-07 15:52:20.029+00,c13c2163-c6e3-449f-8f00-993c85c811e8
5eb5e0d6-de52-4951-8a97-1ae1c6a1779b,TXN_20250808_0008,,,sale,5310.00,,,,d1e97445-1a27-4cab-9386-bc6667663ab5,pending,,,2025-08-08 16:14:36.35+00,2025-08-08 16:14:36.35+00,c13c2163-c6e3-449f-8f00-993c85c811e8
78ebd65b-e65d-47d4-8aad-97faf5f388a9,TXN_20250808_0001,,,sale,31152.00,,,,3d4526a7-7ee3-42f0-bd89-3736433a6b1e,pending,,,2025-08-08 11:07:47.172+00,2025-08-08 11:07:47.182+00,c13c2163-c6e3-449f-8f00-993c85c811e8
8b69fc9a-e4f9-4b39-8d76-1db7bceed71a,TXN_20250811_0002,65d43584-5422-45ea-8173-30bfaaf3df46,48625ecc-0a53-4901-99e1-efc83711e5f5,sale,10620.00,1bd394b5-324e-4e81-9c6b-758bc33e9f97,"jkj ","jj ",46fe033b-da3e-43d7-8fcc-10b4b261c0c4,completed,,Vente commande 46fe033b-da3e-43d7-8fcc-10b4b261c0c4,2025-08-11 00:16:12.748562+00,2025-08-11 00:16:12.748562+00,c13c2163-c6e3-449f-8f00-993c85c811e8
8f0ce2af-27a6-4c6e-a3e3-b2f7e96bf26a,TXN_20250807_0001,,,sale,5310.00,,,,615f2bcc-a95b-4dcd-a66f-3941dec13942,pending,,,2025-08-07 15:40:50.815+00,2025-08-07 15:40:50.815+00,c13c2163-c6e3-449f-8f00-993c85c811e8
98ceddbb-cd58-4c08-b9ed-c3cce813944a,TXN_20250807_0002,65d43584-5422-45ea-8173-30bfaaf3df46,7efdb402-17a2-474a-8ddc-e8a55a1e479d,sale,5310.00,6ce2fc19-697e-4e04-bd4b-314650a01903,Alioune Ndiaye,774562314,615f2bcc-a95b-4dcd-a66f-3941dec13942,completed,,Vente commande 615f2bcc-a95b-4dcd-a66f-3941dec13942,2025-08-07 15:41:34.361782+00,2025-08-07 15:41:34.361782+00,c13c2163-c6e3-449f-8f00-993c85c811e8
9f5f7147-80f3-4f7e-9b4e-6143980d15cd,TXN_20250807_0003,,,sale,5310.00,,,,ebec77c7-a211-4345-8062-9093cbe117d9,pending,,,2025-08-07 15:47:50.482+00,2025-08-07 15:47:50.482+00,c13c2163-c6e3-449f-8f00-993c85c811e8
9f8990c8-4bd2-4d8d-a2d7-3fc0d978cde8,TXN_20250807_0004,65d43584-5422-45ea-8173-30bfaaf3df46,7efdb402-17a2-474a-8ddc-e8a55a1e479d,sale,5310.00,6ce2fc19-697e-4e04-bd4b-314650a01903,Miniane Ndiaye,774123658,ebec77c7-a211-4345-8062-9093cbe117d9,completed,,Vente commande ebec77c7-a211-4345-8062-9093cbe117d9,2025-08-07 15:49:44.099503+00,2025-08-07 15:49:44.099503+00,c13c2163-c6e3-449f-8f00-993c85c811e8
a15788f6-a136-42f3-8196-e5e7ca9a5cab,TXN_20250808_0005,,,sale,5310.00,,,,b7e1bab4-433b-4d91-8f6a-34d010acae6e,pending,,,2025-08-08 13:41:36.307+00,2025-08-08 13:41:36.307+00,c13c2163-c6e3-449f-8f00-993c85c811e8
a44d6695-3476-42c9-bf62-a14146831f4f,TXN_20250808_0011,65d43584-5422-45ea-8173-30bfaaf3df46,7efdb402-17a2-474a-8ddc-e8a55a1e479d,sale,20178.00,,nafi,774123696,93cd50ab-015f-47b2-a328-48381203175f,completed,,Vente commande 93cd50ab-015f-47b2-a328-48381203175f,2025-08-08 17:05:07.91124+00,2025-08-08 17:05:07.91124+00,c13c2163-c6e3-449f-8f00-993c85c811e8
a46abe45-7517-451e-9852-fd2dadcfe16e,TXN_20250811_0001,,,sale,9440.00,,,,46fe033b-da3e-43d7-8fcc-10b4b261c0c4,pending,,,2025-08-11 00:14:08.379+00,2025-08-11 00:14:08.379+00,c13c2163-c6e3-449f-8f00-993c85c811e8
bf3f929f-1a3a-4f27-bfe9-2ad09e8b7236,TXN_20250807_0008,65d43584-5422-45ea-8173-30bfaaf3df46,7efdb402-17a2-474a-8ddc-e8a55a1e479d,sale,5310.00,6ce2fc19-697e-4e04-bd4b-314650a01903,ousmane Elhadj,774123696,22e4e034-2c05-48e9-a90d-4737af926d5f,completed,,Vente commande 22e4e034-2c05-48e9-a90d-4737af926d5f,2025-08-07 15:56:55.872844+00,2025-08-07 15:56:55.872844+00,c13c2163-c6e3-449f-8f00-993c85c811e8
da67e1a2-f292-4c20-a00d-ff394a6ede11,TXN_20250807_0010,65d43584-5422-45ea-8173-30bfaaf3df46,7efdb402-17a2-474a-8ddc-e8a55a1e479d,sale,5310.00,6ce2fc19-697e-4e04-bd4b-314650a01903,Mbaye Presi,774123696,42f02996-5151-4ee1-9009-15deae5d4971,completed,,Vente commande 42f02996-5151-4ee1-9009-15deae5d4971,2025-08-07 16:00:24.552414+00,2025-08-07 16:00:24.552414+00,c13c2163-c6e3-449f-8f00-993c85c811e8
e1b3acc2-1adb-43bd-9ea8-d84a9981c44e,TXN_20250812_0001,,,sale,17936.00,,,,13566d13-052b-4a43-bd25-ef86645b998b,pending,,,2025-08-12 10:40:55.449+00,2025-08-12 10:40:55.449+00,c13c2163-c6e3-449f-8f00-993c85c811e8
ed6b01b8-9cca-4cae-a3cb-b6743aaa0130,TXN_20250807_0009,,,sale,5310.00,,,,42f02996-5151-4ee1-9009-15deae5d4971,pending,,,2025-08-07 15:59:45.352+00,2025-08-07 15:59:45.352+00,c13c2163-c6e3-449f-8f00-993c85c811e8
f0cee2b3-5a8e-4d91-a523-8b55b229ca43,TXN_20250807_0006,65d43584-5422-45ea-8173-30bfaaf3df46,7efdb402-17a2-474a-8ddc-e8a55a1e479d,sale,10620.00,6ce2fc19-697e-4e04-bd4b-314650a01903,mama,774123696,8f48825d-3365-4fc5-98ca-65bc67f40729,completed,,Vente commande 8f48825d-3365-4fc5-98ca-65bc67f40729,2025-08-07 15:52:48.371068+00,2025-08-07 15:52:48.371068+00,c13c2163-c6e3-449f-8f00-993c85c811e8
